,Loss,Accuracy,Balanced accuracy,Precision,Recall,f1-score,Epoch,Step time (minutes)
0,0.5895746946334839,0.861132774744869,0.8602276814319736,0.8654925032270877,0.8746221480803241,0.8700333759630682,0,1.0021079341570536
1,0.4149865595209242,0.8748041940794955,0.8737989367926802,0.8765058380181627,0.8897863960766115,0.8830961895158781,1,0.9813523213068645
2,0.37705538577811665,0.8802567640530325,0.8792007737500473,0.8807501202115724,0.8959950832214933,0.8883071987266373,2,0.975738787651062
3,0.3632728587155326,0.8847094740069723,0.8840246221429593,0.8888958102333462,0.8949164022225846,0.8918959460979787,3,0.9342025438944499
4,0.3532030756687405,0.8905286593210284,0.8893421796196247,0.8883013960792011,0.9082117726742509,0.8981462531242054,4,0.960758097966512
5,0.3494320521719036,0.8901087181127976,0.8895319804610683,0.8949550967387367,0.8987043285210782,0.8968257941772849,5,0.9741716623306275
6,0.3467967919138975,0.8914418648055938,0.890632251285283,0.893422798814293,0.9035082218069161,0.8984372076780125,6,0.9439485271771749
7,0.34270747694066195,0.8935215736463562,0.8926251164488495,0.8942525323735668,0.9068822356290842,0.9005231037489101,7,0.9642294923464457
8,0.34068924376734866,0.8917351570780091,0.8906321542174755,0.890307032104959,0.9081741442673122,0.899151837271971,8,0.9386016567548116
9,0.34150728910072303,0.8952813272808473,0.8941957666267495,0.8936164979893998,0.9114603584732901,0.9024502316108441,9,0.9426516612370809
10,0.33945475107807654,0.8958545803587498,0.8946888201459355,0.8931975709992026,0.913228893599408,0.9031021694099551,10,0.9288984497388204
11,0.3364863464998644,0.8931549583058371,0.8920495960653627,0.8915250903547808,0.9096291093356078,0.9004861149913393,11,0.9477171421051025
12,0.33466984138536293,0.8955879510201905,0.8948739032956594,0.8982085804149729,0.9062300099088139,0.9022014659790467,12,0.9732247153917949
13,0.3324625509917934,0.8932349471074049,0.8919498039356799,0.8895492454814489,0.9123885258444442,0.9008241435037554,13,0.9793349424997966
14,0.3305072569569876,0.8979809493337599,0.8987605290864846,0.9188033076763054,0.8863622110451918,0.9022912556898346,14,0.9663662870724996
15,0.3295365984851736,0.8999340092387066,0.9007672074986677,0.9213051573506243,0.8875161488579778,0.904095061649524,15,0.967892591158549
16,0.32691117329058855,0.9000339952406663,0.8995425203690968,0.904805383229938,0.9073588621169741,0.9060803236493213,16,0.9615974386533102
17,0.3254559397499427,0.9042200758560468,0.9056076366433099,0.9326854328310781,0.8835400805247908,0.907447843197877,17,0.9503151933352153
18,0.32308545867073973,0.9025336452896594,0.9039502793081373,0.9314961360533397,0.881420346933912,0.9057666529181274,18,0.9130080660184224
19,0.3231424265525666,0.9026136340912272,0.9039220216025055,0.9301047569981109,0.8831136252461524,0.9060002830929188,19,0.9347746729850769
20,0.32300778857101237,0.9047600002666294,0.9063293818276758,0.9356848959373627,0.8813701757246604,0.9077157583351634,20,0.9300006628036499
21,0.32020110872100754,0.9065197539011205,0.9073555288013284,0.9274255454793843,0.8940634916653079,0.9104389919916211,21,0.9337018807729085
22,0.31954209491660035,0.9075996027222856,0.909161740779072,0.9382643759232396,0.8843177342681902,0.9104926712726802,22,0.96022127866745
23,0.31752138928915574,0.912198958812433,0.9131952956476809,0.9348237968927624,0.8973497058712857,0.9157035159799817,23,0.9921064734458923
24,0.315560815441252,0.9098926150338953,0.9107703916653449,0.931098696461825,0.8968103653718313,0.9136329367868231,24,0.97733549674352
25,0.3163067877688677,0.9067863832396797,0.9083663329054461,0.9377438642749657,0.8832390532692814,0.9096757524867588,25,0.9404719988505046
26,0.3157800523644666,0.911445730931003,0.9127963292940705,0.9389551016093655,0.8913166179587844,0.9145158903281021,26,0.9471149603525798
27,0.3147735906102729,0.9100992527712787,0.9110413890140023,0.9321503131524008,0.8960577972330578,0.9137477856580992,27,0.9639828085899353
28,0.3149634875431409,0.9092793675552089,0.9099527304615566,0.9278254455099585,0.8992436690205325,0.913310997592326,28,0.8976224303245545
29,0.3143673514408923,0.9125989028202718,0.9135732628799865,0.9348975674722865,0.8980771884054335,0.9161175582481415,29,0.870057487487793
30,0.3159545514472695,0.9109258037208124,0.9115825583673036,0.9291182784574399,0.9011376321697794,0.9149140735929909,30,0.9008708755175273
31,0.31284605565657253,0.9079062264616287,0.9083965652450694,0.9241759231848429,0.900598291670325,0.9122347859230084,31,0.9045046846071879
32,0.31295350792994137,0.9101125842382066,0.9110539318163152,0.9321520837138906,0.8960828828376836,0.9137616791051935,32,0.9107943177223206
33,0.3124757013051613,0.912158964411649,0.9132115284541453,0.935547207351074,0.8964717097093833,0.915592733980682,33,0.8579186836878459
34,0.31320119290256815,0.9100792555708868,0.910655645294224,0.9272858635771329,0.9014888306345403,0.9142053982548526,34,0.8998886903127035
35,0.3115177745141856,0.9101525786389906,0.9113339356835681,0.9354295930171417,0.8925458125854479,0.9134846821866636,35,0.9111634890238444
36,0.3135091845082286,0.9106725058491811,0.9120907278778678,0.939163598802871,0.8895355400303536,0.9136761551394283,36,0.907640262444814
37,0.3111985412943007,0.9116323714679945,0.9128120280491605,0.9367853857274281,0.894050948862995,0.9149194247097557,37,0.9110819021860759
38,0.3115675136001403,0.9126522286879837,0.9138666511310116,0.9382111896023257,0.8945526609555107,0.9158619272652557,38,0.9392741719881693
39,0.31019044942238005,0.9116790316022424,0.9126152355598602,0.9335324577078089,0.8977259899406725,0.9152791631499527,39,0.9266020774841308
40,0.31068689843942954,0.9123722678824965,0.9133028077014265,0.9340974585664176,0.8985036436840719,0.9159548895253683,40,0.9010850111643474
